bin_dist,true_dist,measured_dist,error,mean_clk_ticks,var_clk_ticks,num_pkt_tx,num_pkt_rx,pdr
100,102,103,1,11,7,16,16,1.0
100,102,94,-8,10,6,32,29,0.90625
100,102,94,-8,10,5,64,64,1.0
100,101,103,2,11,6,128,128,1.0
100,101,94,-7,10,6,256,253,0.98828125
100,101,103,2,11,5,512,509,0.994140625
100,101,94,-7,10,6,1024,1021,0.9970703125
100,101,94,-7,10,5,16,16,1.0
100,101,103,2,11,4,32,32,1.0
100,101,112,11,12,4,64,64,1.0
100,101,103,2,11,4,128,128,1.0
100,101,103,2,11,5,256,253,0.98828125
100,101,94,-7,10,6,512,512,1.0
100,101,94,-7,10,5,1024,1024,1.0
100,100,103,3,11,5,16,16,1.0
100,100,94,-6,10,4,32,32,1.0
100,100,94,-6,10,3,64,64,1.0
100,100,94,-6,10,5,128,128,1.0
100,100,94,-6,10,6,256,256,1.0
100,100,103,3,11,5,512,512,1.0
100,100,103,3,11,5,1024,1024,1.0
100,100,94,-6,10,4,16,16,1.0
100,100,94,-6,10,5,32,29,0.90625
100,101,112,11,12,4,64,61,0.953125
100,103,103,0,11,5,128,125,0.9765625
112,109,103,-6,11,5,256,256,1.0
112,111,103,-8,11,5,512,512,1.0
112,113,103,-10,11,5,1024,1024,1.0
112,114,112,-2,12,4,16,13,0.8125
112,114,103,-11,11,6,32,29,0.90625
112,115,112,-3,12,5,64,61,0.953125
112,115,103,-12,11,5,128,128,1.0
112,115,112,-3,12,5,256,256,1.0
112,115,112,-3,12,4,512,512,1.0
112,115,103,-12,11,5,1024,1024,1.0
100,103,84,-19,9,8,16,13,0.8125
100,103,103,0,11,6,32,32,1.0
100,102,103,1,11,4,64,64,1.0
100,102,103,1,11,5,128,128,1.0
100,102,103,1,11,5,256,253,0.98828125
100,101,103,2,11,4,512,509,0.994140625
100,101,103,2,11,5,1024,1024,1.0
100,101,112,11,12,4,16,16,1.0
100,101,103,2,11,4,32,32,1.0
100,101,103,2,11,4,64,64,1.0
100,101,94,-7,10,5,128,128,1.0
100,101,94,-7,10,6,256,256,1.0
100,101,94,-7,10,6,512,509,0.994140625
100,101,94,-7,10,6,1024,1024,1.0
100,101,94,-7,10,9,16,16,1.0
100,101,103,2,11,4,32,29,0.90625
100,101,103,2,11,6,64,64,1.0
100,101,103,2,11,4,128,125,0.9765625
100,101,94,-7,10,6,256,253,0.98828125
100,101,94,-7,10,6,512,512,1.0
100,101,94,-7,10,6,1024,1024,1.0
100,101,94,-7,10,7,16,16,1.0
100,101,94,-7,10,3,32,32,1.0
100,101,94,-7,10,7,64,61,0.953125
100,101,103,2,11,5,128,125,0.9765625
100,101,103,2,11,5,256,256,1.0
100,101,94,-7,10,6,512,509,0.994140625
100,101,103,2,11,5,1024,1021,0.9970703125
100,101,103,2,11,3,16,16,1.0
100,101,103,2,11,3,32,29,0.90625
100,101,103,2,11,4,64,64,1.0
100,101,103,2,11,4,128,125,0.9765625
100,101,103,2,11,5,256,253,0.98828125
100,101,103,2,11,5,512,506,0.98828125
100,101,94,-7,10,5,1024,1021,0.9970703125
112,114,112,-2,12,4,16,13,0.8125
112,115,112,-3,12,4,32,29,0.90625
112,115,112,-3,12,4,64,61,0.953125
112,115,112,-3,12,4,128,125,0.9765625
112,115,103,-12,11,7,256,256,1.0
112,115,112,-3,12,5,512,512,1.0
112,114,112,-2,12,4,1024,1021,0.9970703125
112,114,112,-2,12,4,16,16,1.0
112,114,112,-2,12,4,32,32,1.0
112,114,112,-2,12,5,64,61,0.953125
112,114,112,-2,12,7,128,128,1.0
112,114,103,-11,11,6,256,256,1.0
112,114,103,-11,11,6,512,511,0.998046875
112,113,103,-10,11,5,1024,1018,0.994140625
112,113,103,-10,11,4,16,16,1.0
112,113,94,-19,10,5,32,32,1.0
112,113,94,-19,10,7,64,61,0.953125
112,113,94,-19,10,6,128,128,1.0
112,113,94,-19,10,6,256,256,1.0
112,114,84,-30,9,7,512,509,0.994140625
112,114,94,-20,10,6,1024,1024,1.0
112,115,94,-21,10,7,16,16,1.0
112,115,103,-12,11,4,32,32,1.0
141,139,159,20,17,2,16,16,1.0
141,140,141,1,15,4,32,32,1.0
141,142,141,-1,15,4,16,16,1.0
141,142,131,-11,14,4,32,29,0.90625
141,142,131,-11,14,4,64,61,0.953125
141,142,141,-1,15,5,128,125,0.9765625
141,142,141,-1,15,5,256,250,0.9765625
141,142,141,-1,15,6,512,509,0.994140625
141,142,141,-1,15,6,1024,1021,0.9970703125
141,142,159,17,17,3,16,16,1.0
141,142,122,-20,13,6,32,32,1.0
141,142,122,-20,13,5,64,61,0.953125
